PIVlab, ASCII chart output - 03-Feb-2026
FRAME: 74, filenames: MEAN of frames 1:73 & MEAN of frames 1:73, conversion factor xy (px -> m): 1, conversion factor uv (px/frame -> m/s): 1
x [px],y [px],u [px/frame],v [px/frame],Vector type [-]
501,427,1.631215096,15.393857,1
501,443,2.53668952,15.33311081,1
501,459,3.218033791,14.90725231,1
501,475,3.985626459,13.90717506,1
501,491,4.880619526,13.91548824,1
501,507,5.431939602,12.98690033,1
501,523,6.102013111,12.72487736,1
501,539,6.701886177,12.90527058,1
501,555,6.524429798,11.79018307,2
501,571,6.736579895,10.76120567,2
501,587,10.52894211,15.08977413,2
501,603,6.419350624,7.97287941,1
501,619,4.683122635,4.183004379,2
501,635,NaN,NaN,2
501,651,6.100789547,5.169453621,1
501,667,NaN,NaN,0
501,683,NaN,NaN,0
501,699,NaN,NaN,0
501,715,NaN,NaN,0
501,731,NaN,NaN,0
501,747,NaN,NaN,0
501,763,NaN,NaN,0
517,91,NaN,NaN,0
517,107,NaN,NaN,0
517,123,NaN,NaN,0
517,139,NaN,NaN,0
517,155,-6.715308666,5.089412212,1
517,171,-4.293166161,4.420619965,1
517,187,-5.538657665,6.500638962,1
517,203,-5.417467117,5.819746017,1
517,219,-7.108380795,9.713078499,2
517,235,-7.143269539,10.49822807,2
517,251,-7.428491116,12.22364712,1
517,267,-6.910636902,12.84619045,1
517,283,-5.988072395,13.23830986,1
517,299,-5.633338451,13.45259094,1
517,315,-4.191373825,11.73519516,1
517,331,-3.936273813,13.31523323,1
517,347,-3.070981741,13.95363426,1
517,363,-2.168619871,14.84338856,1
517,379,-1.291714191,15.24686813,1
517,395,-0.4701509774,14.24057865,1
517,411,0.8559837341,14.85895252,1
517,427,1.455586672,14.07867908,1
517,443,2.667207241,14.04698849,1
517,459,3.577066183,15.49566078,1
517,475,4.110302925,13.92474651,1
517,491,5.068154812,13.99092102,1
517,507,5.852644444,13.2188921,1
517,523,6.539337635,12.6435461,1
517,539,6.704152107,11.88161278,1
517,555,7.620037556,12.23101807,1
517,571,8.084706306,12.10414696,2
517,587,8.031075478,10.9680891,2
517,603,NaN,NaN,2
517,619,3.230964184,3.410910606,2
517,635,NaN,NaN,2
517,651,4.785833359,3.994676113,2
517,667,7.105470181,6.571966171,1
517,683,NaN,NaN,0
517,699,NaN,NaN,0
517,715,NaN,NaN,0
517,731,NaN,NaN,0
517,747,NaN,NaN,0
517,763,NaN,NaN,0
533,91,NaN,NaN,0
533,107,NaN,NaN,0
533,123,NaN,NaN,0
533,139,-6.869034767,6.08727026,1
533,155,NaN,NaN,2
533,171,-5.1980896,5.133111477,1
533,187,-6.29116869,6.378931999,1
533,203,-8.764498711,9.380308151,2
533,219,-7.844612122,10.25284481,1
533,235,-8.235467911,11.20186424,1
533,251,-7.338767529,11.01628971,1
533,267,-6.348570347,11.22985077,1
533,283,-6.776267529,13.03076458,1
533,299,-5.514241695,11.89448166,1
533,315,-4.821700096,12.8800354,1
533,331,-4.308047295,13.80078506,1
533,347,-3.21331358,14.13483429,1
533,363,-2.251119614,14.77685642,1
533,379,-1.147950292,14.80819988,1
533,395,-0.2233553827,14.9514513,1
533,411,1.09702599,16.08183289,1
533,427,1.875022173,14.63438988,1
533,443,2.775079727,16.12838554,1
533,459,3.927114248,15.93442726,1
533,475,4.793101788,14.48931408,1
533,491,5.818615437,14.76367378,1
533,507,6.220869064,13.62318516,1
533,523,7.288967133,13.63611221,1
533,539,7.591556072,12.36648273,1
533,555,8.605781555,12.5186882,1
533,571,8.20126915,11.11235619,1
533,587,9.020968437,11.17675018,1
